,gene,plate,row,column,area.48,mean_intensity.48,corrected_area.48,corrected_mean_intensity.48
287,Filler,0,11,23,92.0,0.0010803854987574085,92.0,0.0010803854987574085
288,0.0,0,12,0,,,,
289,Filler,0,12,1,60.0,0.001091342116566496,55.15527950310559,0.0010711719359759518
290,Sc_CCM 13,0,12,2,99.0,0.0010763678500296631,100.21012805587893,0.0010814170905398923
291,Filler,0,12,3,77.0,0.000993102630766344,74.0,0.0010004225050692474
292,Sc_CCM 11,0,12,4,72.0,0.0009784688755761965,74.0,0.0009975282894531968
293,Filler,0,12,5,78.0,0.0009800287001660618,78.0,0.0009800287001660618
294,0.0,0,12,6,,,,
295,Filler,0,12,7,74.0,0.000982133088653868,74.0,0.000982133088653868
296,Sc_CCM 10,0,12,8,30.0,0.0004999125700578168,30.0,0.0004999125700578168
297,Filler,0,12,9,73.0,0.0009629136483231644,73.0,0.0009629136483231644
298,Sc_CCM 26,0,12,10,51.0,0.0014899227057508597,51.0,0.0014899227057508597
299,Filler,0,12,11,77.0,0.00096969411112642,77.0,0.00096969411112642
300,Sc_CCM 28,0,12,12,60.0,0.0020495172968578402,60.0,0.0020495172968578402
301,Filler,0,12,13,76.0,0.0009403483426053632,76.0,0.0009403483426053632
302,Sc_CCM 25,0,12,14,60.0,0.0017769825988674687,60.0,0.0017769825988674687
303,Filler,0,12,15,74.0,0.000945158807359024,74.0,0.000945158807359024
304,Sc_CCM 08,0,12,16,26.0,0.0006115315173862255,26.0,0.0006115315173862255
305,Filler,0,12,17,70.0,0.0009549471332887802,70.0,0.0009549471332887802
306,Sc_CCM 12,0,12,18,97.0,0.0011706755621900952,97.0,0.0011706755621900952
307,Filler,0,12,19,77.0,0.0009940692118787808,77.0,0.0009940692118787808
308,0.0,0,12,20,,,,
309,Filler,0,12,21,84.0,0.001072863972282765,84.0,0.001072863972282765
310,Sc_CCM 14,0,12,22,78.0,0.0010983723614092305,78.0,0.0010983723614092305
311,Filler,0,12,23,56.0,0.0010971037982185068,56.0,0.0010971037982185068
312,Filler,0,13,0,,,,
313,Filler,0,13,1,,,,
314,Filler,0,13,2,72.0,0.0011018055202253968,72.8800931315483,0.0011069740888211264
315,Filler,0,13,3,90.0,0.0010545818369438287,86.49350649350649,0.0010623548568205329
